"time","bc_fr","ec_fr"
2025.75,97.3709,94.7872
2025.83333333333,97.856,95.3014
2025.91666666667,98.0767,95.7499
2026,97.9358,96.4713
2026.08333333333,97.4163,97.2079
2026.16666666667,96.7457643622201,97.727458617332
2026.25,96.0721470019342,97.957833655706
2026.33333333333,95.7228315054835,97.9697906281156
2026.41666666667,95.7293803418803,98.1385683760684
2026.5,96.03375,98.224875
2026.58333333333,96.4877450980392,98.4057189542484
