"time","ipi_cz","ipi_c1","ipi_c3","ipi_c4","ipi_c5"
2012,103.09346,100.26102,104.52506,119.40237,99.28421
2012.08333333333,103.18989,100.44837,104.42648,119.43851,99.43546
2012.16666666667,103.07383,100.47732,104.1016,119.10664,99.39553
2012.25,103.07236,100.71209,103.74431,118.46874,99.55176
2012.33333333333,103.24474,101.09835,103.67585,117.92044,99.84267
2012.41666666667,102.7478,100.82213,102.95669,116.5876,99.4628
2012.5,102.62672,100.90444,102.50203,116.12855,99.40219
2012.58333333333,102.41974,100.95363,102.16566,115.56433,99.21251
2012.66666666667,101.98612,100.95415,101.48936,114.81214,98.80061
2012.75,101.56975,100.95999,100.91111,114.27528,98.35779
2012.83333333333,101.24574,100.74072,100.87948,113.89966,97.96658
2012.91666666667,101.21302,100.6627,101.28152,114.11328,97.79755
2013,101.32396,100.27979,101.98618,114.83129,97.75185
2013.08333333333,101.66258,99.80782,103.05127,116.25497,97.8641
2013.16666666667,102.06917,99.45148,103.79836,117.94815,98.08761
2013.25,102.34865,99.07325,103.95621,119.62333,98.27006
2013.33333333333,102.33104,98.62345,103.83698,120.39189,98.2437
2013.41666666667,102.15021,98.22702,103.30734,121.09014,98.06093
2013.5,101.95309,98.19252,102.89743,121.33548,97.85141
2013.58333333333,101.72413,98.21283,102.56604,121.54183,97.57639
2013.66666666667,101.69456,98.50026,102.48284,122.12409,97.41875
2013.75,101.77796,98.75107,102.76893,122.63424,97.37451
2013.83333333333,102.01776,99.10858,103.03923,123.2361,97.51447
2013.91666666667,102.13618,99.47782,102.97589,123.11106,97.65887
2014,102.17104,99.45523,102.85579,122.99118,97.76034
2014.08333333333,102.23902,99.49638,102.82991,122.81733,97.90122
2014.16666666667,102.06264,99.39215,102.18006,122.71643,97.79734
2014.25,101.90808,99.30768,101.60768,122.79234,97.68815
2014.33333333333,101.76683,99.1596,101.00064,123.43228,97.5138
2014.41666666667,101.63765,99.02891,100.21454,123.9348,97.4065
2014.5,101.5425,98.90019,99.92314,123.87409,97.3406
2014.58333333333,101.43148,98.8211,99.55392,123.4704,97.30262
2014.66666666667,101.33088,98.71338,99.47519,122.71262,97.29764
2014.75,101.34785,98.56625,99.71766,122.46187,97.31298
2014.83333333333,101.45809,98.57399,99.99695,122.34007,97.4136
2014.91666666667,101.63034,98.58031,100.18717,122.85619,97.52474
2015,101.98935,98.78737,100.65311,123.88828,97.74245
2015.08333333333,102.31866,99.07321,101.02977,124.79829,97.95116
2015.16666666667,102.48128,99.35975,101.13789,125.03454,98.10262
2015.25,102.72887,99.76522,101.82141,125.36328,98.24224
2015.33333333333,102.87759,100.07954,102.27775,125.78165,98.26985
2015.41666666667,102.86916,100.19448,102.39063,125.96381,98.20687
2015.5,102.94532,100.28851,102.52527,126.23133,98.23637
2015.58333333333,103.09258,100.2752,102.39548,126.68254,98.42487
2015.66666666667,103.2696,100.1767,102.18241,127.04746,98.70316
2015.75,103.33459,100.11972,101.68335,126.87663,98.9513
2015.83333333333,103.3713,100.056,100.93313,126.8568,99.19367
2015.91666666667,103.47572,99.95671,100.53885,127.60406,99.34222
2016,103.45191,99.8191,100.23317,128.77764,99.21791
2016.08333333333,103.22058,99.50982,99.66363,129.8229,98.88268
2016.16666666667,103.00336,99.14068,99.18831,130.86314,98.58396
2016.25,102.89964,98.84166,99.10443,131.61685,98.43852
2016.33333333333,102.67363,98.60794,98.72475,131.63533,98.25852
2016.41666666667,102.57037,98.58037,98.48422,131.24219,98.23019
2016.5,102.66084,98.86383,98.528,130.53238,98.36864
2016.58333333333,102.88019,99.17805,98.72931,130.51974,98.51446
2016.66666666667,103.02723,99.4283,99.0652,130.04168,98.61149
2016.75,103.20716,99.58601,99.38007,130.28554,98.69976
2016.83333333333,103.44036,99.56552,99.72475,130.62176,98.93067
2016.91666666667,103.64727,99.46331,100.17855,131.05782,99.16304
2017,103.9233,99.32759,100.57999,131.87992,99.50097
2017.08333333333,104.21645,99.24002,101.04921,132.37828,99.87082
2017.16666666667,104.72306,99.32762,101.80356,133.33793,100.37548
2017.25,105.10461,99.50773,102.3318,133.89638,100.74662
2017.33333333333,105.4922,99.65727,102.75841,134.84483,101.08713
2017.41666666667,105.85258,99.8605,102.86885,135.78956,101.4365
2017.5,106.34594,100.04408,103.09573,137.30358,101.89776
2017.58333333333,106.78926,100.06236,103.2168,138.69763,102.36754
2017.66666666667,107.17701,100.01125,103.248,140.05206,102.79729
2017.75,107.53171,99.86936,103.57881,140.80268,103.23169
2017.83333333333,107.61688,99.7348,103.52387,140.82354,103.41849
2017.91666666667,107.44669,99.70497,103.33016,140.35042,103.29891
2018,107.05631,99.77085,102.72638,139.40423,102.98495
2018.08333333333,106.72954,99.84284,102.17413,138.95355,102.69123
2018.16666666667,106.51292,100.01485,101.64423,139.10613,102.45239
2018.25,106.48304,100.06965,101.29133,139.85087,102.39828
2018.33333333333,106.55931,100.02694,101.31462,140.65572,102.40917
2018.41666666667,106.70986,99.87405,101.39932,141.34904,102.53501
2018.5,106.85421,99.67204,101.62734,141.54719,102.70302
2018.58333333333,106.94993,99.6183,101.72239,141.38882,102.83183
2018.66666666667,106.94755,99.59093,101.71656,140.89464,102.89737
2018.75,107.14697,99.64173,101.93125,141.03518,103.12976
2018.83333333333,107.32076,99.75055,102.27934,141.51794,103.22465
2018.91666666667,107.65991,99.98515,103.08276,142.20272,103.43614
2019,107.97735,100.10405,104.08744,142.9014,103.58976
2019.08333333333,108.24057,100.12799,105.16294,143.40509,103.70276
2019.16666666667,108.33047,99.95906,105.89652,143.27367,103.78829
2019.25,108.20249,99.80306,106.10052,142.58971,103.73251
2019.33333333333,108.07451,99.60722,105.89822,141.81455,103.82135
2019.41666666667,107.76778,99.34132,105.0821,141.0511,103.78325
2019.5,107.47166,99.27062,104.06996,140.54362,103.72394
2019.58333333333,107.14026,99.31642,103.22023,139.44641,103.62711
2019.66666666667,107.61881,99.56835,103.29111,140.14877,104.22056
2019.75,108.10921,99.90319,103.41303,140.8013,104.75913
2019.83333333333,107.04213,99.99958,102.08874,138.1112,103.67368
2019.91666666667,104.56337,99.58822,99.3834,132.17886,101.28882
2020,100.65759,98.90675,95.41782,123.02787,97.51117
2020.08333333333,95.42647,97.89237,90.26488,110.75176,92.56991
2020.16666666667,89.88202,96.6189,85.05033,97.13591,87.54427
2020.25,86.18765,95.83124,81.894,86.83109,84.41614
2020.33333333333,85.95207,95.7188,82.27857,83.46988,84.70997
2020.41666666667,88.51759,96.37648,85.24229,86.4631,87.60931
2020.5,92.1992,97.23994,88.85176,92.68525,91.50009
2020.58333333333,95.99209,98.02991,92.42142,99.99049,95.33593
2020.66666666667,99.4744,98.63737,95.84613,107.20361,98.73701
2020.75,101.19348,98.88795,97.62492,110.8012,100.41165
2020.83333333333,101.28745,98.78711,98.17215,110.64964,100.52574
2020.91666666667,100.97767,98.46861,98.6405,108.95732,100.3816
2021,100.68776,98.54939,99.30825,106.67774,100.24085
2021.08333333333,100.29374,98.64028,99.81702,104.09575,100.01312
2021.16666666667,100.01927,98.86576,99.95133,102.01945,99.92191
2021.25,99.71661,99.03887,99.88635,100.02977,99.81713
2021.33333333333,99.7461,99.2769,99.98925,99.21456,99.95303
2021.41666666667,99.78445,99.57283,99.86947,98.58164,100.10103
2021.5,99.74108,99.83093,99.7192,98.16608,100.07935
2021.58333333333,99.93058,100.2195,99.85376,98.32806,100.22676
