"time","bc_comd","compre","ossk","tcapa","tcapre"
1991,98,-10.5,7.1,12.4,
1991.08333333333,84.8,-23.1,23.8,7.3,
1991.16666666667,88.6,-23.1,20.8,-22.5,
1991.25,92.4,-15.3,11.7,-22.6,
1991.33333333333,91.9,-13.1,10.3,-15.3,
1991.41666666667,91.9,-12.1,11.7,-16.5,
1991.5,88.4,-16.5,11.6,-24.2,
1991.58333333333,90.9,-13.7,10.5,-14,
1991.66666666667,92.9,-11.5,10.2,-3.5,
1991.75,86.1,-16.9,10.3,-22,
1991.83333333333,85.9,-17.8,7.6,-22.9,
1991.91666666667,91,-16.4,14,-1.7,
1992,87.7,-21.1,14.5,-17.8,
1992.08333333333,92.3,-14.1,2.3,-9.2,
1992.16666666667,94,-14.7,4.9,9.3,
1992.25,89.1,-16.9,9.2,-10,
1992.33333333333,89.3,-16.2,1.9,-18.7,
1992.41666666667,92.8,-14.4,4.7,-0.7,
1992.5,88,-18.2,7.1,-25.9,
1992.58333333333,86.1,-17.1,4.8,-28.5,
1992.66666666667,83.7,-16.5,3.2,-30.9,
1992.75,85.5,-18.4,4.5,-20.3,
1992.83333333333,86.1,-18.4,1.9,-3.6,
1992.91666666667,77.3,-30.1,5.9,-28.3,
1993,75.8,-32.2,10.1,-34.9,
1993.08333333333,79.8,-28.3,-6.8,-13.7,
1993.16666666667,88.9,-7.3,0.4,-40.3,
1993.25,88.9,-17.6,-0.2,-19.2,
1993.33333333333,87.5,-17.8,-1,-7,
1993.41666666667,73.9,-28.4,-3.2,-44,
1993.5,81.5,-22.9,-4,-24.8,
1993.58333333333,82.5,-19.9,-4.3,-30.3,
1993.66666666667,83.1,-17.3,-4,-35.8,
1993.75,84.8,-17.4,1.9,-27,
1993.83333333333,87.6,-17.6,0.8,-15.2,
1993.91666666667,89,-18.2,16.4,-26.6,
1994,92.5,-17.6,17.9,-9,
1994.08333333333,92.6,-15.7,-0.5,-14.8,
1994.16666666667,93,-16.2,16.7,-11.1,
1994.25,95.9,-14.7,2.8,-1.2,
1994.33333333333,95.8,-16.3,4,-3.8,
1994.41666666667,93.5,-16.3,10.9,-17.1,
