"time","ivv_commerce","ivv_45","ivv_46","ivv_47"
2012,83.5234803921569,80.8249836601307,87.4461764705882,77.4127614379085
2012.08333333333,83.5293875,80.7074625,87.4457875,77.4776625
2012.16666666667,83.5664743589744,80.5099145299145,87.5380769230769,77.5135149572649
2012.25,83.5871186440678,80.2873379860419,87.6175772681954,77.5300099700897
2012.33333333333,83.6919535783366,80.0401450676983,87.7967698259188,77.6469922630561
2012.41666666667,83.7300778967868,79.6315092502434,87.8825608568647,77.7795715676728
2012.5,83.74101,79.23544,87.91034,77.92247
2012.58333333333,83.6778,78.93323,87.83892,77.9675
2012.66666666667,83.57473,78.65702,87.66533,78.0521
2012.75,83.45487,78.51526,87.42891,78.13932
2012.83333333333,83.26903,78.24409,87.13616,78.17007
2012.91666666667,83.2314,78.07909,87.04602,78.2715
2013,83.21113,77.90954,86.97292,78.39677
2013.08333333333,83.22485,77.64753,86.96923,78.54744
2013.16666666667,83.2882,77.38749,87.0508,78.7078
2013.25,83.41854,77.47985,87.17465,78.86075
2013.33333333333,83.52257,77.55472,87.26066,79.00927
2013.41666666667,83.59789,77.68603,87.278,79.16737
2013.5,83.77885,78.15601,87.40408,79.3299
2013.58333333333,83.97937,78.62717,87.56397,79.49114
2013.66666666667,84.17889,79.02174,87.76711,79.60234
2013.75,84.35573,79.29998,87.97435,79.68192
2013.83333333333,84.53969,79.37576,88.22354,79.79185
2013.91666666667,84.63417,79.28858,88.38164,79.8481
2014,84.61532,78.9501,88.4055,79.88765
2014.08333333333,84.56002,78.53008,88.3874,79.9217
2014.16666666667,84.51267,78.37122,88.28529,80.02092
2014.25,84.53102,78.4485,88.26038,80.09146
2014.33333333333,84.53053,78.52641,88.18605,80.19158
2014.41666666667,84.66075,78.89103,88.25622,80.32795
2014.5,84.76904,79.35013,88.25521,80.48207
2014.58333333333,84.9049,79.70463,88.28673,80.71298
2014.66666666667,84.98375,79.93841,88.25254,80.9315
2014.75,85.03906,80.16985,88.17115,81.15949
2014.83333333333,85.12344,80.39321,88.14668,81.38359
2014.91666666667,85.21972,80.66085,88.10764,81.65601
2015,85.4152,80.90872,88.2526,81.92484
2015.08333333333,85.62936,81.27173,88.43195,82.14172
2015.16666666667,85.8973,81.76122,88.63798,82.42986
2015.25,86.18041,82.21347,88.82809,82.81197
2015.33333333333,86.44713,82.75718,88.93493,83.25183
2015.41666666667,86.5904,83.2933,88.90068,83.54785
2015.5,86.66596,83.66494,88.80453,83.80642
2015.58333333333,86.77249,84.00247,88.76115,84.08566
2015.66666666667,86.89963,84.37657,88.81292,84.24226
2015.75,87.09822,84.61857,89.04147,84.3663
2015.83333333333,87.42385,85.04019,89.43738,84.52103
2015.91666666667,87.86331,85.58927,89.89661,84.87543
2016,88.28442,86.33021,90.31442,85.1628
2016.08333333333,88.56685,86.88811,90.55099,85.40791
2016.16666666667,88.66048,87.28572,90.55544,85.53312
2016.25,88.63434,87.59496,90.38758,85.62307
2016.33333333333,88.48694,87.69101,90.06765,85.69141
2016.41666666667,88.35871,87.84055,89.81598,85.67352
2016.5,88.382,88.05224,89.75148,85.77898
2016.58333333333,88.53884,88.63223,89.79073,85.96914
2016.66666666667,88.83452,89.29518,90.01408,86.23671
2016.75,89.22709,90.08749,90.35038,86.5562
2016.83333333333,89.63721,90.79717,90.73524,86.87932
2016.91666666667,90.00863,91.43947,91.03652,87.2605
2017,90.35087,92.07267,91.3133,87.59625
2017.08333333333,90.7154,92.53313,91.64641,87.97604
2017.16666666667,91.09076,93.12526,92.05138,88.20154
2017.25,91.46692,93.59965,92.46505,88.46592
2017.33333333333,91.84854,94.17661,92.87735,88.70638
2017.41666666667,92.17308,94.6503,93.27496,88.83128
2017.5,92.60468,95.35372,93.70728,89.14321
2017.58333333333,92.87091,95.97005,93.91901,89.35629
2017.66666666667,93.13334,96.59454,94.04604,89.70967
2017.75,93.35918,97.29843,94.1133,90.02002
2017.83333333333,93.5278,97.77331,94.09717,90.39626
2017.91666666667,93.65788,98.21862,94.0756,90.66916
2018,93.79874,98.48457,94.10656,90.95439
2018.08333333333,93.92474,98.79968,94.14842,91.14962
2018.16666666667,94.10848,99.01516,94.34024,91.29474
2018.25,94.33642,99.26204,94.59208,91.46235
2018.33333333333,94.45517,99.35231,94.75092,91.51418
2018.41666666667,94.5795,99.33933,94.90574,91.6403
2018.5,94.61957,99.0327,95.00927,91.7239
2018.58333333333,94.62166,98.534,95.11276,91.76526
2018.66666666667,94.6556,98.18878,95.19651,91.88342
2018.75,94.75659,97.93778,95.36376,92.02309
2018.83333333333,94.87976,97.94268,95.49857,92.18205
2018.91666666667,95.20417,98.36588,95.85106,92.40447
2019,95.59289,99.19216,96.1796,92.70095
2019.08333333333,96.01325,100.09734,96.56185,92.96288
2019.16666666667,96.45735,100.96361,97.00712,93.20072
2019.25,96.81206,101.56598,97.38652,93.38822
2019.33333333333,97.10569,102.09005,97.71062,93.5133
2019.41666666667,97.2823,102.3564,97.88546,93.65271
2019.5,97.35365,102.38918,97.96601,93.72683
2019.58333333333,97.43452,102.48296,97.99313,93.90983
2019.66666666667,98.01119,103.84795,98.35442,94.53006
2019.75,98.60313,104.87036,98.7716,95.25638
2019.83333333333,97.60999,102.17028,98.09992,94.451
2019.91666666667,95.46935,96.74754,96.51807,92.79077
2020,92.49356,89.19457,94.2845,90.55791
2020.08333333333,88.74041,80.52491,91.44683,87.37299
2020.16666666667,85.5782,73.52877,88.86461,84.91686
2020.25,84.47709,72.06605,87.66215,84.18962
2020.33333333333,86.6108,78.17768,88.74029,86.4842
2020.41666666667,90.15568,87.81604,91.11547,89.39199
2020.5,93.68433,96.72957,93.6251,92.32864
2020.58333333333,96.34632,102.8163,95.60339,94.68371
2020.66666666667,97.92214,105.83939,97.0424,95.82781
2020.75,98.23344,104.90679,97.60177,96.24744
2020.83333333333,97.25398,101.3903,97.2863,95.18381
2020.91666666667,97.06285,99.43616,97.22186,95.59367
2021,97.3741,99.06408,97.61684,96.07416
2021.08333333333,97.91927,99.47839,98.1617,96.68922
2021.16666666667,98.32642,99.66211,98.62601,97.09843
2021.25,98.85081,99.94798,99.10092,97.84093
2021.33333333333,99.47924,100.21179,99.60202,98.89856
2021.41666666667,99.85973,99.85111,100.0861,99.43104
2021.5,100.39139,99.70175,100.43894,100.63937
2021.58333333333,100.7627,99.77342,100.66822,101.42923
2021.66666666667,101.07282,99.71099,100.87757,102.11242
2021.75,101.45859,99.93099,101.22571,102.6489
2021.83333333333,101.69497,99.88965,101.57787,102.78978
2021.91666666667,101.86704,99.65624,101.81887,103.02175
2022,102.13865,99.40481,102.23438,103.26504
2022.08333333333,102.20087,98.55986,102.47658,103.4133
2022.16666666667,102.07626,97.73402,102.45956,103.41751
2022.25,101.87228,97.17736,102.22743,103.44196
2022.33333333333,101.67594,97.13048,101.9107,103.41072
2022.41666666667,101.66213,97.59727,101.83578,103.2857
2022.5,101.71353,98.51134,101.74149,103.20582
2022.58333333333,101.89019,99.76583,101.77564,103.14048
2022.66666666667,102.10197,100.9358,101.90153,103.05716
2022.75,102.20482,101.94611,101.91565,102.895
2022.83333333333,101.99196,102.51718,101.56761,102.56966
2022.91666666667,101.56502,103.09679,100.87303,102.18375
2023,101.17991,103.83835,100.21066,101.80275
2023.08333333333,100.71122,104.38435,99.44776,101.42672
2023.16666666667,100.49383,105.26341,99.00864,101.11964
2023.25,100.49058,106.24265,98.83274,100.98565
2023.33333333333,100.75798,107.37516,99.04097,100.95427
2023.41666666667,101.04011,108.19762,99.33956,100.94529
2023.5,101.28053,108.98816,99.53663,101.00537
2023.58333333333,101.32512,109.38076,99.53537,100.96882
2023.66666666667,101.36632,109.56565,99.47871,101.12981
2023.75,101.37125,109.53921,99.36786,101.37507
2023.83333333333,101.3087,109.07069,99.21995,101.67368
2023.91666666667,101.46749,108.71317,99.41295,102.01358
2024,101.54412,108.04693,99.55597,102.31931
2024.08333333333,101.55961,107.29862,99.68402,102.48348
2024.16666666667,101.40053,106.43097,99.59206,102.53321
2024.25,101.1897,105.70685,99.3578,102.61463
2024.33333333333,100.81293,104.91116,98.84407,102.70597
2024.41666666667,100.50643,104.34534,98.29658,102.99508
2024.5,100.28796,104.02631,97.80634,103.35926
2024.58333333333,100.16565,103.84923,97.42957,103.76496
2024.66666666667,100.13921,103.81805,97.22296,104.10171
2024.75,100.09347,103.78202,97.06485,104.2777
2024.83333333333,100.17637,103.78232,97.14386,104.41374
2024.91666666667,100.2994,103.69102,97.28827,104.6009
2025,100.45366,103.43689,97.52208,104.79313
2025.08333333333,100.64567,103.20647,97.79756,105.01927
2025.16666666667,100.92698,103.08996,98.13562,105.37349
2025.25,101.20568,103.07244,98.46997,105.68129
2025.33333333333,101.43021,103.2132,98.69472,105.94294
2025.41666666667,101.6367,103.52446,98.84391,106.21195
2025.5,101.79978,103.98003,98.90117,106.44461
2025.58333333333,102.00526,104.35491,99.01194,106.75848
2025.66666666667,102.156075949367,104.612405063291,99.0644011684518,107.053106134372
2025.75,102.311411992263,104.801324951644,99.1712669245648,107.287456479691
2025.83333333333,102.442512462612,104.862402791625,99.2888833499501,107.479002991027
2025.91666666667,102.570106837607,104.886164529915,99.4528525641026,107.583675213675
2026,102.6750375,104.8632125,99.619925,107.6260375
2026.08333333333,102.716486928105,104.93181372549,99.6976960784314,107.580114379085
