"time","icam_climat","icam_sff","icam_evpp","icam_ial","icam_evfc","icam_cef","icam_oe","icam_dadl","icam_nvf","icam_ofai","icam_nvpas","icam_cea","icam_abe","icam_sfp","icam_evfp","icam_iav"
2012,85.4788863518143,-25.2055790388083,26.4077292017773,-83.3886378595772,54.4755802803421,-6.66368730315775,18.5213214986265,-56.0829117826212,-49.9961120327596,-25.5703623557678,-71.0254279042158,7.10970488210049,-5.76875618863186,-30.40472949389,-13.5560013186185,-77.9439965007853
2012.08333333333,87.457154683081,-22.6494272218617,24.2411183887862,-82.8627864615564,52.9344989255553,-5.74564213471992,19.7174363804524,-55.8747729817458,-44.9074540577066,-24.8948705860668,-70.0949543350038,7.88142011937883,-4.95906949587168,-30.610984203681,-17.9664796901404,-77.6282332343372
2012.16666666667,89.2040929102747,-20.3585344561637,21.7808086585699,-82.6996995972648,52.1523725682177,-4.71589818884909,21.753079508298,-55.8055949972319,-40.8703315241466,-24.256707624454,-68.7286382318227,8.68944011424099,-4.128178895442,-29.5001091858067,-20.8270050726407,-77.3189391842278
2012.25,90.6419153088309,-18.4268682104628,18.4971715801852,-82.7173424907066,51.5355651928222,-3.87282622741455,23.5732072605698,-55.9115606117954,-37.5849852526926,-23.6761904614919,-67.6926826047015,9.74738845045883,-3.3559095035229,-28.4724940644158,-23.9037445681203,-77.0621834596927
2012.33333333333,91.4731764659899,-17.0848168831043,14.2976184729616,-83.1284097533817,53.5796498396224,-3.42185706507803,25.1323851549548,-56.3535894659935,-35.9795585689155,-23.4825448824332,-67.3287808256708,11.0293759842028,-2.59851038206238,-27.6700740609287,-26.0894444070309,-76.7972511375626
2012.41666666667,91.1612778205209,-16.8306243688077,9.59689936020039,-84.0993396204226,57.033960283254,-3.40043747623087,26.4645055052774,-57.0429090032401,-37.4886888529582,-24.0415804757715,-68.0065564555195,12.5302817984026,-1.94743066859677,-27.2998455356339,-26.261359404214,-76.6056257133813
2012.5,89.7487497023101,-17.8287092164801,5.09335556084782,-85.5183972374375,61.968028101929,-3.54834484401048,27.8745534651107,-57.7333293641343,-41.8847939985711,-25.0831150273875,-69.6000238151941,14.1086568230531,-8.5045512854043,-27.5268516313408,-24.1090140509645,-76.7577994760657
2012.58333333333,87.7535722791141,-19.6678375803763,1.47749464158133,-86.9664205763277,67.1188973565135,-3.59919028340081,29.6879018814003,-58.3268040009526,-47.7430935937128,-26.3265658490117,-71.3600261967135,15.5101809954751,-8.43765563964578,-28.2196356275304,-20.4657061205049,-77.2485710883544
2012.66666666667,86.0206001428912,-21.5245891879019,-0.971064539175994,-87.9660633484163,70.965229816623,-3.16867111216956,31.761669445106,-58.7597642295785,-52.8433555608478,-27.3927125506073,-72.3957489878543,16.6668254346273,-8.55229739543292,-28.9247439866635,-17.1356275303644,-77.9627887592284
2012.75,84.9578471064539,-22.9679090259586,-2.61478923553227,-88.276911169326,72.9683257918552,-2.28661586091927,33.7506549178376,-58.9607049297452,-56.0256608716361,-28.2054060490593,-72.4125386996904,17.7146939747559,-8.92627765078586,-29.3351393188854,-15.3713384139081,-78.7992974517742
2012.83333333333,84.5991307454156,-23.9290307216004,-4.0268516313408,-87.9275422719695,73.3599666587283,-1.30638247201715,35.2969159323648,-59.0859133126935,-57.2281495594189,-28.705584663015,-71.7458918790188,18.7126101452727,-9.38317049307762,-29.3667740344973,-15.3995594189093,-79.4752321981424
2012.91666666667,84.689330793046,-24.4508216241962,-5.84960704929745,-87.2109430816861,73.0185163134079,-0.673969992855442,35.8325791855204,-59.2676827816147,-57.1933793760419,-28.9951178852108,-71.0552512502977,19.283758037628,-9.8320188104131,-29.0473404877429,-16.6588473446059,-79.7697666110979
2013,84.6861752798285,-24.7512502976899,-8.0161943319838,-86.6146701595618,73.4348059061682,-0.65718028101929,35.4674327220767,-59.5676946892117,-57.3886639676113,-29.5189926172898,-71.0777566087164,19.0356037151703,-10.0872231483687,-28.7627038720904,-17.9791617051679,-79.5873422243391
2013.08333333333,84.2415456060967,-25.0585258394856,-10.2988806858776,-86.3597880447726,74.7320195284592,-1.15777566087164,34.5782329125982,-59.9168849726125,-58.639854727316,-30.4155155989521,-72.1889735651346,18.0860919266492,-9.96386044296261,-28.4221504764291,-18.5796618242439,-79.0561443200762
