"time","icam_climat","icam_sff","icam_ial","icam_evfc","icam_cef","icam_oe","icam_dadl","icam_nvf","icam_ofai","icam_nvpas","icam_cea","icam_sfp","icam_evfp"
2012,86.2736591037913,-25.1962206826182,-83.3886378595772,54.4705971996547,-6.66368730315775,18.5212982416626,-56.081985136459,-49.9945122545592,-25.5839433143233,-71.0451932914193,7.11011712071154,-30.4047553025467,-13.5523602049019
2012.08333333333,88.000606985336,-22.6489296609912,-82.8627864615564,52.9243956639926,-5.74564213471992,19.7174348887058,-55.8719923101986,-44.9073977111895,-24.8945236443471,-70.095185673984,7.88250305245054,-30.6112670779985,-17.9525162084858
2012.16666666667,89.5700226540532,-20.3585466559169,-82.6996995972648,52.1526350003446,-4.71589818884909,21.7530795687605,-55.8057154186579,-40.8703311615597,-24.2568060788015,-68.7286417566504,8.68937230698561,-29.5001058604488,-20.8270132410043
2012.25,90.8743145512572,-18.4270269008034,-82.7173424907066,51.5460911648309,-3.87282622741455,23.5732087232015,-55.9128327720707,-37.5849259621545,-23.6789809341808,-67.6931469353893,9.74716947831492,-28.4724460062443,-23.9037188507158
2012.33333333333,91.626016449359,-17.0847538498424,-83.1284097533817,53.58062351626,-3.42185706507803,25.1323874569841,-56.3537666118258,-35.9792139846862,-23.4844646567927,-67.3292404105983,11.0292530188657,-27.6700056905994,-26.0885933536145
2012.41666666667,91.2943809682365,-16.8305903833191,-84.0993396204226,57.0340928999328,-3.40043747623087,26.4645063015754,-57.0429674167234,-37.4886813039902,-24.0421143693719,-68.0065727236867,12.5302389566589,-27.2997793560888,-26.2612613461978
2012.5,89.9792212431531,-17.8287092164801,-85.5183972374375,61.968028101929,-3.54834484401048,27.8745534651107,-57.7333293641343,-41.8847939985711,-25.0831150273875,-69.6000238151941,14.1086568230531,-27.5268516313408,-24.1090140509645
2012.58333333333,88.1420576327697,-19.6678375803763,-86.9664205763277,67.1188973565135,-3.59919028340081,29.6879018814003,-58.3268040009526,-47.7430935937128,-26.3265658490117,-71.3600261967135,15.5101809954751,-28.2196356275304,-20.4657061205049
2012.66666666667,86.5672779233151,-21.5245891879019,-87.9660633484163,70.965229816623,-3.16867111216956,31.761669445106,-58.7597642295785,-52.8433555608478,-27.3927125506073,-72.3957489878543,16.6668254346273,-28.9247439866635,-17.1356275303644
2012.75,85.6250893069778,-22.9679090259586,-88.276911169326,72.9683257918552,-2.28661586091927,33.7506549178376,-58.9607049297452,-56.0256608716361,-28.2054060490593,-72.4125386996904,17.7146939747559,-29.3351393188855,-15.3713384139081
